regime,equation,term,estimate,std_error,t_stat,p_value
b_joint_cci_cons_wt,mortgage,d2020_covid,0.0013940931367650768,0.011048997254456744,0.1261737246067966,0.8997417772918062
b_joint_cci_cons_wt,mortgage,d2020_rebound,-0.007698376171819446,0.011032669824650657,-0.697779983827551,0.48625699960851065
b_joint_cci_cons_wt,mortgage,d_neg_gearing_8587,0.0036353783412779936,0.0025304847367397924,1.4366331827639143,0.15263869832057853
b_joint_cci_cons_wt,mortgage,d_recession_1991,-0.0017228197181480829,0.01005812860048779,-0.171286308475369,0.8641999889465422
b_joint_cci_cons_wt,mortgage,d_apra_2014,0.005651955939675247,0.005416034117335428,1.0435598848213843,0.29815354493274615
b_joint_cci_cons_wt,mortgage,d_apra_2017,-0.012399858607066742,0.005718743990439605,-2.168283565026934,0.031510867194161074
b_joint_cci_cons_wt,mortgage,d_jobkeeper_2020,-0.001675968524019148,0.00496298354754847,-0.33769374972984034,0.7360057640629958
b_joint_cci_cons_wt,hew,(Intercept),0.1652719128870656,0.09702822721529486,1.703338478197129,0.09029013412249465
b_joint_cci_cons_wt,hew,lincome,-0.028962155933594868,0.009387084185884353,-3.0853197180383396,0.0023659654840404443
b_joint_cci_cons_wt,hew,ha_y_proxy,0.012796454340731248,0.0017690195464682246,7.233642141647811,1.4360068689711625e-11
b_joint_cci_cons_wt,hew,real_rate,-2.631671439367669e-4,4.337417171755475e-4,-0.6067369900466727,0.5448163118905556
b_joint_cci_cons_wt,hew,prime_age_share,0.20639658738900518,0.09888471492446059,2.0872446014196875,0.038323136648990896
b_joint_cci_cons_wt,hew,cci_williams_joint,-0.0067302559469997495,0.005077990898894729,-1.3253777096104389,0.18678352576821355
b_joint_cci_cons_wt,hew,ecm_lag_W,0.06714662442133694,0.04741669729425823,1.4160966126476262,0.1585348366697299
b_joint_cci_cons_wt,hew,dlog_hp_real,0.18578152384215413,0.034640431625654514,5.3631411366296415,2.576311812774179e-7
b_joint_cci_cons_wt,hew,d_real_rate,-1.236080568369768e-4,0.0010993668826704385,-0.11243567437353055,0.9106075776416542
b_joint_cci_cons_wt,hew,d2008_gfc,-0.009167941957670539,0.009092963040503586,-1.0082458178739941,0.3147364953049592
b_joint_cci_cons_wt,hew,d2020_covid,-0.0054411638694954224,0.009190526111332498,-0.5920405212478668,0.5545919543160163
b_joint_cci_cons_wt,hew,d2020_rebound,-0.008608083981933771,0.009207429402790263,-0.9349063245953466,0.3511322246418598
b_joint_cci_cons_wt,hew,d_recession_1991,-0.0033888599096202282,0.009070220069840693,-0.37362488269590016,0.709138253158464
b_joint_cci_cons_wt,hew,d_apra_2014,-0.004125603133587385,0.0048335957491788175,-0.8535267216519475,0.39454074319878507
b_joint_cci_cons_wt,hew,d_apra_2017,-0.018461458262814097,0.005059939514959731,-3.64855315132379,3.483450030508095e-4
c_joint_cci_HP_wt,consumption,(Intercept),-0.04655545971949171,0.03160724164976191,-1.472936494597351,0.14258521769107846
c_joint_cci_HP_wt,consumption,ln_networth_y_extended,0.022232922754279336,0.010698639684911054,2.0781074425411097,0.03917586046386767
c_joint_cci_HP_wt,consumption,ln_hp_over_y,-0.001488196711458733,0.0025726263143350326,-0.5784737189254007,0.5636966408209618
c_joint_cci_HP_wt,consumption,real_rate,5.293547809519945e-5,4.253792534177123e-4,0.1244430180124889,0.9011089907545369
c_joint_cci_HP_wt,consumption,ln_yp_over_y,0.1995350538974495,0.03689487249254297,5.40820554232241,2.0913897769148093e-7
c_joint_cci_HP_wt,consumption,cci_williams_joint_h,0.0032499340809480984,0.0044258070211730255,0.7343144573182788,0.4637512117086695
c_joint_cci_HP_wt,consumption,ecm_lag,-0.215180429798653,0.03630648674648991,-5.926776427065241,1.632303847642902e-8
c_joint_cci_HP_wt,consumption,d2000_gst,0.005304327173034503,0.008577260179687294,0.6184174272334928,0.5371135638411135
c_joint_cci_HP_wt,consumption,d2008_gfc,-0.01205748043929177,0.008605885221107322,-1.4010738151281468,0.16298326979161137
c_joint_cci_HP_wt,consumption,d2020_covid,-0.1577679763416384,0.010538949130601064,-14.96999125686457,0
c_joint_cci_HP_wt,consumption,d2020_rebound,0.02199742410325122,0.011098867811751609,1.9819520762252971,0.04906835922549724
c_joint_cci_HP_wt,consumption,d_neg_gearing_8587,-5.612075707684201e-4,0.003270204630842015,-0.1716123711267328,0.8639428529832025
c_joint_cci_HP_wt,consumption,d_recession_1991,-0.0029714760338511764,0.008648000686023538,-0.3436026593584256,0.7315623519718384
c_joint_cci_HP_wt,consumption,d_apra_2014,0.0052568533346609835,0.0049092719881176075,1.0708009960305034,0.285750538473847
c_joint_cci_HP_wt,consumption,d_apra_2017,-0.009743654091765922,0.004665308249634552,-2.0885338267903677,0.03821373350210511
c_joint_cci_HP_wt,consumption,d_jobkeeper_2020,0.011017575339568323,0.006995142826977266,1.5750322205113896,0.11707595069198495
c_joint_cci_HP_wt,house_price,(Intercept),0.12366467002784555,0.5453165351962398,0.2267759402955626,0.8208657141238425
c_joint_cci_HP_wt,house_price,lincome,0.013395101199725173,0.0483619991775687,0.2769757542599294,0.7821293846474144
c_joint_cci_HP_wt,house_price,log_credit_y,0.015423897024126769,0.023276489812160257,0.6626384454269783,0.5084439865531205
c_joint_cci_HP_wt,house_price,real_rate,-0.002341213805808762,9.29704434305858e-4,-2.518234526392008,0.012702186799581572
c_joint_cci_HP_wt,house_price,prime_age_share,-0.10380497355298304,0.3177233683491389,-0.3267149473214515,0.7442784304022068
c_joint_cci_HP_wt,house_price,cci_williams_joint_h,0.0240060600945419,0.011838412776757342,2.0278106995621585,0.044113749671673474
c_joint_cci_HP_wt,house_price,ecm_lag_H,-0.03720923083806141,0.02063480670889556,-1.8032265270515329,0.07309280239968308
c_joint_cci_HP_wt,house_price,d_log_credit_y,0.30305610984847126,0.08327257104100988,3.639326924338903,3.606894933732008e-4
c_joint_cci_HP_wt,house_price,d_real_rate,0.009760335619356669,0.0022320154148147884,4.372880023396513,2.1122238049953168e-5
c_joint_cci_HP_wt,house_price,d2008_gfc,-0.027819331764482823,0.019078550462453752,-1.4581470337188758,0.14661303603984566
c_joint_cci_HP_wt,house_price,d2020_covid,-0.010099384807579105,0.01964862508433061,-0.5139995681241414,0.6079082056909058
c_joint_cci_HP_wt,house_price,d2020_rebound,0.018244904241900253,0.019644876926296392,0.9287359910856884,0.35431993369500514
c_joint_cci_HP_wt,house_price,d_neg_gearing_8587,-0.013245278192593708,0.007423979141325956,-1.7841211485715518,0.07615672390287109
c_joint_cci_HP_wt,house_price,d_recession_1991,-7.941365888005102e-4,0.019086691738754442,-0.04160682216017881,0.96686011432352
c_joint_cci_HP_wt,house_price,d_apra_2014,-0.012596337316163293,0.010918272594420141,-1.1536932428853937,0.25021732154794574
c_joint_cci_HP_wt,house_price,d_apra_2017,0.023423218435711973,0.01117983257025136,2.095131415298587,0.037615447238018795
c_joint_cci_HP_wt,mortgage,(Intercept),-0.0664928435434729,0.22221806430067725,-0.2992233946089245,0.7651308483847847
c_joint_cci_HP_wt,mortgage,lincome,-0.009308746783528192,0.02781255847799263,-0.3346958098405066,0.7382623585661523
c_joint_cci_HP_wt,mortgage,ln_hp_over_yd,-0.0027887195943105186,0.004135765180751765,-0.6742935037244084,0.5010299811335881
c_joint_cci_HP_wt,mortgage,real_rate,8.949306221453885e-5,5.436304292722324e-4,0.16462114222403773,0.8694354933471788
c_joint_cci_HP_wt,mortgage,prime_age_share,0.3415956932275038,0.13732239263437704,2.4875454517968354,0.013815403179401109
c_joint_cci_HP_wt,mortgage,cci_williams_joint_h,-0.008575154133346809,0.006005178688653759,-1.4279598623016474,0.15511660487485246
c_joint_cci_HP_wt,mortgage,ecm_lag_M,0.0014978820724729494,0.00806623719644044,0.1856977467925133,0.8529006058289774
c_joint_cci_HP_wt,mortgage,dlog_hp_real,0.27033850887636784,0.039080144520647876,6.917541175763445,8.675016260895063e-11
c_joint_cci_HP_wt,mortgage,d_real_rate,0.0029319452525899204,0.0012119975261603584,2.4191016807422074,0.01660127625617802
c_joint_cci_HP_wt,mortgage,d2008_gfc,-0.0014066840400484442,0.01010868512690593,-0.13915598541142835,0.8894896890939532
c_joint_cci_HP_wt,mortgage,d2020_covid,0.001394093136775514,0.011048997254456797,0.1261737246077406,0.8997417772910599
c_joint_cci_HP_wt,mortgage,d2020_rebound,-0.0076983761718140056,0.011032669824650792,-0.6977799838270494,0.48625699960882374
